+   plus sign
＋  fullwidth plus sign
＜  fullwidth less-than sign
＝  fullwidth equals sign
＞  fullwidth greater-than sign
｜  fullwidth vertical line
～  fullwidth tilde
￢  fullwidth not sign
￩   halfwidth leftwards arrow
￪   halfwidth upwards arrow
￫   halfwidth rightwards arrow
￬   halfwidth downwards arrow
𝛁   mathematical bold nabla
𝛛   mathematical bold partial differential
𝛻   mathematical italic nabla
𝜕   mathematical italic partial differential
𝜵   mathematical bold italic nabla
𝝏   mathematical bold italic partial differential
𝝯   mathematical sans-serif bold nabla
𝞉   mathematical sans-serif bold partial differential
𝞩   mathematical sans-serif bold italic nabla
𝟃   mathematical sans-serif bold italic partial differential
